Datetime,Time,MWh
1994-01-01,00:00:00,1698.383
1994-02-01,00:00:00,1641.103
1994-03-01,00:00:00,1744.84
1994-04-01,00:00:00,1797.511
1994-05-01,00:00:00,1669.668
1994-06-01,00:00:00,1829.881
1994-07-01,00:00:00,1727.951
1994-08-01,00:00:00,1545.273
1994-09-01,00:00:00,1895.187
1994-10-01,00:00:00,1740.77
1994-11-01,00:00:00,1862.889
1994-12-01,00:00:00,1742.803
1995-01-01,00:00:00,1940.464
1995-02-01,00:00:00,1731.964
1995-03-01,00:00:00,1901.491
1995-04-01,00:00:00,1880.643
1995-05-01,00:00:00,1624.412
1995-06-01,00:00:00,1639.194
1995-07-01,00:00:00,1537.694
1995-08-01,00:00:00,1439.966
1995-09-01,00:00:00,1495.672
1995-10-01,00:00:00,1574.671
1995-11-01,00:00:00,1564.465
1995-12-01,00:00:00,1588.383
1996-01-01,00:00:00,1607.016
1996-02-01,00:00:00,1668.615
1996-03-01,00:00:00,1830.963
1996-04-01,00:00:00,1960.663
1996-05-01,00:00:00,1970.178
1996-06-01,00:00:00,1844.439
1996-07-01,00:00:00,1993.535
1996-08-01,00:00:00,1729.712
1996-09-01,00:00:00,2039.016
1996-10-01,00:00:00,1889.191
1996-11-01,00:00:00,1976.022
1996-12-01,00:00:00,1987.224
1997-01-01,00:00:00,2254.281
1997-02-01,00:00:00,2198.871
1997-03-01,00:00:00,2163.238
1997-04-01,00:00:00,2189.751
1997-05-01,00:00:00,1935.918
1997-06-01,00:00:00,2118.132
1997-07-01,00:00:00,2069.096
1997-08-01,00:00:00,1987.836
1997-09-01,00:00:00,2025.818
1997-10-01,00:00:00,2039.914
1997-11-01,00:00:00,1907.312
1997-12-01,00:00:00,2043.309
1998-01-01,00:00:00,1977.931
1998-02-01,00:00:00,2190.894
1998-03-01,00:00:00,2086.07
1998-04-01,00:00:00,1983.866
1998-05-01,00:00:00,1931.069
1998-06-01,00:00:00,2024.956
1998-07-01,00:00:00,1885.428
1998-08-01,00:00:00,2105.772
1998-09-01,00:00:00,2068.653
1998-10-01,00:00:00,2022.943
1998-11-01,00:00:00,1996.856
1998-12-01,00:00:00,2027.54
1999-01-01,00:00:00,1960.967
1999-02-01,00:00:00,1961.021
1999-03-01,00:00:00,2075.328
1999-04-01,00:00:00,1806.387
1999-05-01,00:00:00,1776.599
1999-06-01,00:00:00,1695.569
1999-07-01,00:00:00,1659.048
1999-08-01,00:00:00,1657.915
1999-09-01,00:00:00,1792.314
1999-10-01,00:00:00,1726.895
1999-11-01,00:00:00,1799.022
1999-12-01,00:00:00,2138.712
2000-01-01,00:00:00,2085.258
2000-02-01,00:00:00,2186.298
2000-03-01,00:00:00,2220.798
2000-04-01,00:00:00,2009.905
2000-05-01,00:00:00,1996.331
2000-06-01,00:00:00,1924.791
2000-07-01,00:00:00,1831.322
2000-08-01,00:00:00,1859.094
2000-09-01,00:00:00,1864.97
2000-10-01,00:00:00,1893.021
2000-11-01,00:00:00,1968.612
2000-12-01,00:00:00,1975.755
2001-01-01,00:00:00,2172.876
2001-02-01,00:00:00,2242.839
2001-03-01,00:00:00,2392.761
2001-04-01,00:00:00,2236.228
2001-05-01,00:00:00,2093.66
2001-06-01,00:00:00,2019.429
2001-07-01,00:00:00,1852.42
2001-08-01,00:00:00,1896.329
2001-09-01,00:00:00,1919.893
2001-10-01,00:00:00,1902.004
2001-11-01,00:00:00,2109.474
2001-12-01,00:00:00,2316.581
2002-01-01,00:00:00,2182.043
2002-02-01,00:00:00,2397.699
2002-03-01,00:00:00,2174.777
2002-04-01,00:00:00,2228.596
2002-05-01,00:00:00,1976.504
2002-06-01,00:00:00,1985.455
2002-07-01,00:00:00,1950.109
2002-08-01,00:00:00,1939.52
2002-09-01,00:00:00,1883.919
2002-10-01,00:00:00,2065.51
2002-11-01,00:00:00,1971.114
2002-12-01,00:00:00,2072.379
2003-01-01,00:00:00,2253.191
2003-02-01,00:00:00,2380.438
2003-03-01,00:00:00,2316.162
2003-04-01,00:00:00,1823.535
2003-05-01,00:00:00,1892.363
2003-06-01,00:00:00,1872.031
2003-07-01,00:00:00,1821.017
2003-08-01,00:00:00,1791.273
2003-09-01,00:00:00,1725.936
2003-10-01,00:00:00,1828.042
2003-11-01,00:00:00,1785.2
2003-12-01,00:00:00,1934.263
2004-01-01,00:00:00,2053.784
2004-02-01,00:00:00,2110.454
2004-03-01,00:00:00,2237.612
2004-04-01,00:00:00,1975.137
2004-05-01,00:00:00,1935.913
2004-06-01,00:00:00,1851.397
2004-07-01,00:00:00,1797.769
2004-08-01,00:00:00,1872.963
2004-09-01,00:00:00,1873.693
2004-10-01,00:00:00,1890.012
2004-11-01,00:00:00,1840.696
2004-12-01,00:00:00,2036.251
2005-01-01,00:00:00,2111.427
2005-02-01,00:00:00,2114.849
2005-03-01,00:00:00,2126.645
2005-04-01,00:00:00,2073.887
2005-05-01,00:00:00,1975.792
2005-06-01,00:00:00,2045.888
2005-07-01,00:00:00,2044.648
2005-08-01,00:00:00,1953.839
2005-09-01,00:00:00,1837.71
2005-10-01,00:00:00,1863.455
2005-11-01,00:00:00,1909.182
