Datetime,Time,MWh
1994-01-01,00:00:00,419.64
1994-02-01,00:00:00,404.616
1994-03-01,00:00:00,453.703
1994-04-01,00:00:00,362.545
1994-05-01,00:00:00,390.938
1994-06-01,00:00:00,318.439
1994-07-01,00:00:00,333.54
1994-08-01,00:00:00,330.582
1994-09-01,00:00:00,367.67
1994-10-01,00:00:00,403.894
1994-11-01,00:00:00,435.157
1994-12-01,00:00:00,474.995
1995-01-01,00:00:00,466.517
1995-02-01,00:00:00,462.242
1995-03-01,00:00:00,472.309
1995-04-01,00:00:00,413.928
1995-05-01,00:00:00,368.519
1995-06-01,00:00:00,356.807
1995-07-01,00:00:00,326.401
1995-08-01,00:00:00,349.604
1995-09-01,00:00:00,357.416
1995-10-01,00:00:00,368.13
1995-11-01,00:00:00,415.457
1995-12-01,00:00:00,464.73
1996-01-01,00:00:00,484.302
1996-02-01,00:00:00,506.413
1996-03-01,00:00:00,454.766
1996-04-01,00:00:00,437.486
1996-05-01,00:00:00,419.523
1996-06-01,00:00:00,315.285
1996-07-01,00:00:00,336.042
1996-08-01,00:00:00,358.545
1996-09-01,00:00:00,362.752
1996-10-01,00:00:00,314.276
1996-11-01,00:00:00,416.386
1996-12-01,00:00:00,421.825
1997-01-01,00:00:00,500.005
1997-02-01,00:00:00,476.856
1997-03-01,00:00:00,467.672
1997-04-01,00:00:00,426.279
1997-05-01,00:00:00,338.356
1997-06-01,00:00:00,313.059
1997-07-01,00:00:00,341.06
1997-08-01,00:00:00,335.578
1997-09-01,00:00:00,361.372
1997-10-01,00:00:00,370.111
1997-11-01,00:00:00,385.9
1997-12-01,00:00:00,443.536
1998-01-01,00:00:00,433.717
1998-02-01,00:00:00,488.753
1998-03-01,00:00:00,483.822
1998-04-01,00:00:00,420.829
1998-05-01,00:00:00,376.2
1998-06-01,00:00:00,346.966
1998-07-01,00:00:00,340.898
1998-08-01,00:00:00,342.774
1998-09-01,00:00:00,345.676
1998-10-01,00:00:00,343.687
1998-11-01,00:00:00,388.895
1998-12-01,00:00:00,469.632
1999-01-01,00:00:00,524.584
1999-02-01,00:00:00,505.515
1999-03-01,00:00:00,583.155
1999-04-01,00:00:00,410.495
1999-05-01,00:00:00,388.195
1999-06-01,00:00:00,365.74
1999-07-01,00:00:00,335.912
1999-08-01,00:00:00,344.374
1999-09-01,00:00:00,376.33
1999-10-01,00:00:00,350.237
1999-11-01,00:00:00,355.568
1999-12-01,00:00:00,450.773
2000-01-01,00:00:00,504.963
2000-02-01,00:00:00,485.529
2000-03-01,00:00:00,487.012
2000-04-01,00:00:00,430.56
2000-05-01,00:00:00,387.744
2000-06-01,00:00:00,371.462
2000-07-01,00:00:00,347.463
2000-08-01,00:00:00,330.271
2000-09-01,00:00:00,335.196
2000-10-01,00:00:00,373.474
2000-11-01,00:00:00,438.483
2000-12-01,00:00:00,457.563
2001-01-01,00:00:00,509.256
