Datetime,Time,MWh
1994-01-01,00:00:00,25.908
1994-02-01,00:00:00,23.863
1994-03-01,00:00:00,25.417
1994-04-01,00:00:00,25.898
1994-05-01,00:00:00,24.958
1994-06-01,00:00:00,24.585
1994-07-01,00:00:00,22.323
1994-08-01,00:00:00,21.72
1994-09-01,00:00:00,36.874
1994-10-01,00:00:00,25.692
1994-11-01,00:00:00,21.976
1994-12-01,00:00:00,23.992
1995-01-01,00:00:00,31.531
1995-02-01,00:00:00,27.215
1995-03-01,00:00:00,29.113
1995-04-01,00:00:00,28.522
1995-05-01,00:00:00,23.983
1995-06-01,00:00:00,24.601
1995-07-01,00:00:00,26.562
1995-08-01,00:00:00,26.512
1995-09-01,00:00:00,28.478
1995-10-01,00:00:00,27.597
1995-11-01,00:00:00,25.661
1995-12-01,00:00:00,25.32
1996-01-01,00:00:00,28.127
1996-02-01,00:00:00,29.921
1996-03-01,00:00:00,32.948
1996-04-01,00:00:00,32.41
1996-05-01,00:00:00,30.246
1996-06-01,00:00:00,33.701
1996-07-01,00:00:00,29.476
1996-08-01,00:00:00,29.454
1996-09-01,00:00:00,26.187
1996-10-01,00:00:00,31.909
1996-11-01,00:00:00,29.531
1996-12-01,00:00:00,33.289
1997-01-01,00:00:00,34.498
1997-02-01,00:00:00,39.67
1997-03-01,00:00:00,30.279
1997-04-01,00:00:00,31.135
1997-05-01,00:00:00,31.522
1997-06-01,00:00:00,29.431
1997-07-01,00:00:00,33.691
1997-08-01,00:00:00,32.711
1997-09-01,00:00:00,97.681
1997-10-01,00:00:00,37.423
1997-11-01,00:00:00,33.021
1997-12-01,00:00:00,31.234
1998-01-01,00:00:00,39.712
1998-02-01,00:00:00,37.807
1998-03-01,00:00:00,35.868
1998-04-01,00:00:00,34.044
1998-05-01,00:00:00,35.518
1998-06-01,00:00:00,34.263
1998-07-01,00:00:00,32.049
1998-08-01,00:00:00,34.633
1998-09-01,00:00:00,29.465
1998-10-01,00:00:00,32.57
1998-11-01,00:00:00,34.711
1998-12-01,00:00:00,31.453
1999-01-01,00:00:00,42.225
1999-02-01,00:00:00,37.691
1999-03-01,00:00:00,40.44
1999-04-01,00:00:00,39.145
1999-05-01,00:00:00,36.743
1999-06-01,00:00:00,34.229
1999-07-01,00:00:00,37.179
1999-08-01,00:00:00,39.959
1999-09-01,00:00:00,38.785
1999-10-01,00:00:00,41.268
1999-11-01,00:00:00,36.749
1999-12-01,00:00:00,37.994
2000-01-01,00:00:00,47.008
2000-02-01,00:00:00,43.364
2000-03-01,00:00:00,42.629
2000-04-01,00:00:00,41.358
2000-05-01,00:00:00,40.895
2000-06-01,00:00:00,39.746
2000-07-01,00:00:00,43.701
2000-08-01,00:00:00,43.544
2000-09-01,00:00:00,45.117
2000-10-01,00:00:00,41.928
2000-11-01,00:00:00,47.692
2000-12-01,00:00:00,48.653
2001-01-01,00:00:00,50.715
2001-02-01,00:00:00,53.748
2001-03-01,00:00:00,53.895
2001-04-01,00:00:00,50.888
2001-05-01,00:00:00,45.716
2001-06-01,00:00:00,39.034
2001-07-01,00:00:00,36.849
2001-08-01,00:00:00,41.412
2001-09-01,00:00:00,40.658
2001-10-01,00:00:00,39.769
2001-11-01,00:00:00,39.736
2001-12-01,00:00:00,39.318
2002-01-01,00:00:00,44.308
2002-02-01,00:00:00,48.753
2002-03-01,00:00:00,39.764
2002-04-01,00:00:00,37.254
2002-05-01,00:00:00,36.427
2002-06-01,00:00:00,37.601
2002-07-01,00:00:00,33.718
2002-08-01,00:00:00,32.681
2002-09-01,00:00:00,34.659
2002-10-01,00:00:00,36.679
2002-11-01,00:00:00,38.839
2002-12-01,00:00:00,40.087
2003-01-01,00:00:00,44.304
2003-02-01,00:00:00,46.916
2003-03-01,00:00:00,42.483
2003-04-01,00:00:00,35.937
2003-05-01,00:00:00,46.994
2003-06-01,00:00:00,41.11
2003-07-01,00:00:00,42.81
2003-08-01,00:00:00,44.281
2003-09-01,00:00:00,40.991
2003-10-01,00:00:00,43.874
2003-11-01,00:00:00,44.584
2003-12-01,00:00:00,47.866
2004-01-01,00:00:00,55.323
2004-02-01,00:00:00,50.458
2004-03-01,00:00:00,54.111
2004-04-01,00:00:00,58.816
2004-05-01,00:00:00,49.673
2004-06-01,00:00:00,63.397
2004-07-01,00:00:00,53.169
2004-08-01,00:00:00,54.498
2004-09-01,00:00:00,53.653
2004-10-01,00:00:00,54.128
2004-11-01,00:00:00,53.384
2004-12-01,00:00:00,54.213
2005-01-01,00:00:00,63.669
2005-02-01,00:00:00,63.498
2005-03-01,00:00:00,59.95
2005-04-01,00:00:00,65.325
2005-05-01,00:00:00,57.733
2005-06-01,00:00:00,62.308
2005-07-01,00:00:00,65.432
2005-08-01,00:00:00,60.445
2005-09-01,00:00:00,66.779
2005-10-01,00:00:00,57.664
2005-11-01,00:00:00,58.787
2005-12-01,00:00:00,55.008
2006-01-01,00:00:00,54.857
2006-02-01,00:00:00,61.219
2006-03-01,00:00:00,62.402
2006-04-01,00:00:00,59.792
2006-05-01,00:00:00,50.947
2006-06-01,00:00:00,56.612
2006-07-01,00:00:00,53.741
2006-08-01,00:00:00,54.073
2006-09-01,00:00:00,53.476
2006-10-01,00:00:00,48.945
2006-11-01,00:00:00,54.516
2006-12-01,00:00:00,50.19
2007-01-01,00:00:00,55.775
2007-02-01,00:00:00,57.646
2007-03-01,00:00:00,55.913
2007-04-01,00:00:00,57.556
2007-05-01,00:00:00,59.094
2007-06-01,00:00:00,50.556
2007-07-01,00:00:00,50.806
2007-08-01,00:00:00,56.285
2007-09-01,00:00:00,54.38
2007-10-01,00:00:00,51.981
2007-11-01,00:00:00,50.789
2007-12-01,00:00:00,50.093
2008-01-01,00:00:00,61.763
2008-02-01,00:00:00,62.372
2008-03-01,00:00:00,50.443
2008-04-01,00:00:00,52.53
2008-05-01,00:00:00,56.555
2008-06-01,00:00:00,52.435
2008-07-01,00:00:00,47.503
2008-08-01,00:00:00,53.524
2008-09-01,00:00:00,48.718
2008-10-01,00:00:00,51.359
2008-11-01,00:00:00,55.109
2008-12-01,00:00:00,46.604
2009-01-01,00:00:00,59.583
2009-02-01,00:00:00,54.904
2009-03-01,00:00:00,59.644
2009-04-01,00:00:00,54.67
2009-05-01,00:00:00,54.452
2009-06-01,00:00:00,51.933
2009-07-01,00:00:00,51.345
2009-08-01,00:00:00,50.993
2009-09-01,00:00:00,49.755
2009-10-01,00:00:00,51.15
2009-11-01,00:00:00,49.901
2009-12-01,00:00:00,53.646
2010-01-01,00:00:00,63.019
2010-02-01,00:00:00,55.99
2010-03-01,00:00:00,53.592
2010-04-01,00:00:00,51.888
2010-05-01,00:00:00,48.182
2010-06-01,00:00:00,45.355
2010-07-01,00:00:00,50.084
2010-08-01,00:00:00,51.266
2010-09-01,00:00:00,50.025
2010-10-01,00:00:00,48.404
2010-11-01,00:00:00,56.247
2010-12-01,00:00:00,47.977
2011-01-01,00:00:00,62.482
2011-02-01,00:00:00,46.196
2011-03-01,00:00:00,56.324
2011-04-01,00:00:00,50.119
2011-05-01,00:00:00,45.127
2011-06-01,00:00:00,49.13
2011-07-01,00:00:00,51.738
2011-08-01,00:00:00,46.81
2011-09-01,00:00:00,51.58
2011-10-01,00:00:00,49.119
2011-11-01,00:00:00,45.867
2011-12-01,00:00:00,48.304
2012-01-01,00:00:00,57.812
2012-02-01,00:00:00,58.082
2012-03-01,00:00:00,62.056
2012-04-01,00:00:00,50.79
2012-05-01,00:00:00,46.946
2012-06-01,00:00:00,48.331
2012-07-01,00:00:00,60.156
2012-08-01,00:00:00,52.305
2012-09-01,00:00:00,50.255
2012-10-01,00:00:00,53.757
2012-11-01,00:00:00,57.272
2012-12-01,00:00:00,60.82
2013-01-01,00:00:00,65.057
2013-02-01,00:00:00,69.181
2013-03-01,00:00:00,67.726
2013-04-01,00:00:00,45.508
2013-05-01,00:00:00,57.252
2013-06-01,00:00:00,58.034
2013-07-01,00:00:00,61.665
2013-08-01,00:00:00,62.582
2013-09-01,00:00:00,54.709
2013-10-01,00:00:00,58.402
2013-11-01,00:00:00,58.375
2013-12-01,00:00:00,58.472
2014-01-01,00:00:00,91.418
2014-02-01,00:00:00,63.174
2014-03-01,00:00:00,61.137
2014-04-01,00:00:00,56.652
2014-05-01,00:00:00,41.687
2014-06-01,00:00:00,48.277
2014-07-01,00:00:00,57.657
2014-08-01,00:00:00,41.266
2014-09-01,00:00:00,44.44
2014-10-01,00:00:00,44.658
2014-11-01,00:00:00,56.318
2014-12-01,00:00:00,49.419
2015-01-01,00:00:00,60.37
2015-02-01,00:00:00,65.694
2015-03-01,00:00:00,51.01
2015-04-01,00:00:00,47.875
2015-05-01,00:00:00,47.399
2015-06-01,00:00:00,49.053
2015-07-01,00:00:00,41.158
2015-08-01,00:00:00,45.809
2015-09-01,00:00:00,42.411
2015-10-01,00:00:00,51.825
2015-11-01,00:00:00,51.527
2015-12-01,00:00:00,49.404
2016-01-01,00:00:00,58.968
2016-02-01,00:00:00,56.373
2016-03-01,00:00:00,54.827
2016-04-01,00:00:00,59.217
2016-05-01,00:00:00,51.661
2016-06-01,00:00:00,50.352
2016-07-01,00:00:00,53.977
2016-08-01,00:00:00,49.735
2016-09-01,00:00:00,54.702
2016-10-01,00:00:00,46.268
2016-11-01,00:00:00,51.338
2016-12-01,00:00:00,47.954
2017-01-01,00:00:00,55.777
2017-02-01,00:00:00,65.672
2017-03-01,00:00:00,64.32
2017-04-01,00:00:00,49.526
2017-05-01,00:00:00,46.44
2017-06-01,00:00:00,51.184
2017-07-01,00:00:00,47.914
2017-08-01,00:00:00,42.174
2017-09-01,00:00:00,112.191
2017-10-01,00:00:00,47.622
2017-11-01,00:00:00,-0.885
2017-12-01,00:00:00,52.826
2018-01-01,00:00:00,63.537
2018-02-01,00:00:00,58.819
2018-03-01,00:00:00,51.976
2018-04-01,00:00:00,50.851
2018-05-01,00:00:00,52.32223
2018-06-01,00:00:00,56.407
2018-07-01,00:00:00,50.73315
2018-08-01,00:00:00,50.084
2018-09-01,00:00:00,56.417
2018-10-01,00:00:00,53.406
2018-11-01,00:00:00,52.043
2018-12-01,00:00:00,72.644
2019-01-01,00:00:00,70.059
2019-02-01,00:00:00,68.447
2019-03-01,00:00:00,39.394
2019-04-01,00:00:00,45.769
2019-05-01,00:00:00,53.008160000000004
2019-06-01,00:00:00,42.616
2019-07-01,00:00:00,47.361
2019-08-01,00:00:00,49.414
2019-09-01,00:00:00,83.707
2019-10-01,00:00:00,48.247
2019-11-01,00:00:00,48.124
2019-12-01,00:00:00,51.438
2020-01-01,00:00:00,15.954
2020-02-01,00:00:00,58.165
2020-03-01,00:00:00,101.611
2020-04-01,00:00:00,51.445
2020-05-01,00:00:00,46.687
2020-06-01,00:00:00,46.988
2020-07-01,00:00:00,34.159
2020-08-01,00:00:00,45.759
2020-09-01,00:00:00,53.544
2020-10-01,00:00:00,46.569
2020-11-01,00:00:00,44.563
2020-12-01,00:00:00,51.409
2021-01-01,00:00:00,57.71
2021-02-01,00:00:00,48.035
2021-03-01,00:00:00,45.939
2021-04-01,00:00:00,49.791
2021-05-01,00:00:00,43.465
2021-06-01,00:00:00,45.762
2021-07-01,00:00:00,46.845
2021-08-01,00:00:00,39.94
2021-09-01,00:00:00,37.964
2021-10-01,00:00:00,43.417
2021-11-01,00:00:00,39.926
2021-12-01,00:00:00,42.859
2022-01-01,00:00:00,50.487
2022-02-01,00:00:00,50.487
2022-03-01,00:00:00,49.423
2022-04-01,00:00:00,43.292
2022-05-01,00:00:00,43.96
2022-06-01,00:00:00,44.956
2022-07-01,00:00:00,43.092
2022-08-01,00:00:00,44.896
2022-09-01,00:00:00,54.093
