Datetime,Time,MWh
1994-01-01,00:00:00,659.419
1994-02-01,00:00:00,653.971
1994-03-01,00:00:00,635.643
1994-04-01,00:00:00,632.509
1994-05-01,00:00:00,601.464
1994-06-01,00:00:00,574.817
1994-07-01,00:00:00,598.423
1994-08-01,00:00:00,549.799
1994-09-01,00:00:00,583.066
1994-10-01,00:00:00,642.507
1994-11-01,00:00:00,590.119
1994-12-01,00:00:00,663.269
1995-01-01,00:00:00,707.87
1995-02-01,00:00:00,742.978
1995-03-01,00:00:00,782.467
1995-04-01,00:00:00,734.949
1995-05-01,00:00:00,677.744
1995-06-01,00:00:00,669.484
1995-07-01,00:00:00,695.05
1995-08-01,00:00:00,641.423
1995-09-01,00:00:00,692.522
1995-10-01,00:00:00,698.778
1995-11-01,00:00:00,1017.486
1995-12-01,00:00:00,722.227
1996-01-01,00:00:00,790.516
1996-02-01,00:00:00,843.672
1996-03-01,00:00:00,764.033
1996-04-01,00:00:00,753.125
1996-05-01,00:00:00,771.367
1996-06-01,00:00:00,717.939
1996-07-01,00:00:00,703.411
1996-08-01,00:00:00,726.913
1996-09-01,00:00:00,643.717
1996-10-01,00:00:00,666.23
1996-11-01,00:00:00,704.873
1996-12-01,00:00:00,707.948
1997-01-01,00:00:00,943.105
1997-02-01,00:00:00,930.824
1997-03-01,00:00:00,858.37
1997-04-01,00:00:00,907.395
1997-05-01,00:00:00,846.509
1997-06-01,00:00:00,861.997
1997-07-01,00:00:00,888.315
1997-08-01,00:00:00,863.067
1997-09-01,00:00:00,975.41
1997-10-01,00:00:00,971.311
1997-11-01,00:00:00,871.682
1997-12-01,00:00:00,1075.091
1998-01-01,00:00:00,1231.222
1998-02-01,00:00:00,1394.206
1998-03-01,00:00:00,1533.656
1998-04-01,00:00:00,1501.367
1998-05-01,00:00:00,1501.276
1998-06-01,00:00:00,1337.021
1998-07-01,00:00:00,1398.284
1998-08-01,00:00:00,1323.439
1998-09-01,00:00:00,1362.685
1998-10-01,00:00:00,1273.089
1998-11-01,00:00:00,1351.174
1998-12-01,00:00:00,1465.287
1999-01-01,00:00:00,1513.911
1999-02-01,00:00:00,1529.623
1999-03-01,00:00:00,1616.232
1999-04-01,00:00:00,1395.637
1999-05-01,00:00:00,1361.316
1999-06-01,00:00:00,1394.505
1999-07-01,00:00:00,1337.824
1999-08-01,00:00:00,1336.452
1999-09-01,00:00:00,1472.605
1999-10-01,00:00:00,1390.46
1999-11-01,00:00:00,1360.847
1999-12-01,00:00:00,1493.955
